Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
9285528066,2021-01-18 00:06:51,2021-01-12 08:38:00,Spicer,Minnesota,320,Other,Y
4805719113,2021-01-18 00:06:56,2021-01-17 18:13:00,,Arizona,480,Other,Y
5632958594,2021-01-18 00:08:23,2021-01-15 17:13:00,Urbandale,Iowa,515,Other,Y
8009179892,2021-01-18 00:14:18,2021-01-16 13:18:00,,Maryland,301,"Calls pretending to be government, businesses, or family and friends",Y
6692564221,2021-01-18 00:25:04,2021-01-17 14:48:00,Knoxville,Tennessee,865,"Calls pretending to be government, businesses, or family and friends",Y
4052813187,2021-01-18 00:26:26,2021-01-17 19:18:00,Spencer,Oklahoma,405,Dropped call or no message,N
8664950652,2021-01-18 00:27:36,2021-01-16 10:23:00,Kennewick,Washington,509,Other,N
7144064638,2021-01-18 00:30:31,2021-01-04 15:28:00,,California,949,No Subject Provided,
2193334857,2021-01-18 00:31:12,2021-01-15 10:31:00,Valparaiso,Indiana,219,"Calls pretending to be government, businesses, or family and friends",Y
7142154345,2021-01-18 00:31:20,2021-01-04 14:27:00,,California,949,No Subject Provided,
9498926446,2021-01-18 00:32:05,2021-01-04 11:22:00,,California,949,No Subject Provided,
8336597827,2021-01-18 00:32:26,2021-01-15 16:31:00,Mission,Texas,956,Warranties  & protection plans,N
6263713637,2021-01-18 00:32:42,2021-01-04 10:49:00,,California,949,No Subject Provided,
9496971809,2021-01-18 00:33:52,2021-01-04 09:34:00,,California,949,No Subject Provided,
9496971809,2021-01-18 00:34:33,2021-01-04 08:16:00,,California,949,No Subject Provided,
6095895097,2021-01-18 00:34:43,2021-01-12 14:37:00,Mission,Texas,956,Warranties  & protection plans,N
6267274796,2021-01-18 00:35:30,2021-01-14 12:30:00,Pasadena,California,626,"Calls pretending to be government, businesses, or family and friends",Y
5622856779,2021-01-18 00:35:30,2021-01-04 09:12:00,,California,949,No Subject Provided,
9492157188,2021-01-18 00:36:04,2020-12-30 00:00:00,,California,949,No Subject Provided,
9492646818,2021-01-18 00:36:48,2020-12-29 16:38:00,,California,949,No Subject Provided,
9514142143,2021-01-18 00:37:36,2020-12-29 13:32:00,,California,949,No Subject Provided,
6267163980,2021-01-18 00:38:29,2021-01-06 13:32:00,Pasadena,California,626,"Calls pretending to be government, businesses, or family and friends",Y
7079262262,2021-01-18 00:38:30,2020-12-29 10:39:00,,California,949,No Subject Provided,
9492009892,2021-01-18 00:39:16,2020-12-28 13:12:00,,California,949,No Subject Provided,
9492155420,2021-01-18 00:40:01,2020-12-24 12:41:00,,California,949,No Subject Provided,
9497365994,2021-01-18 00:40:39,2021-01-05 16:38:00,,California,949,No Subject Provided,
9492209319,2021-01-18 00:41:55,2021-01-09 10:20:00,,California,949,No Subject Provided,
9492646891,2021-01-18 00:42:24,2021-01-08 11:22:00,,California,949,No Subject Provided,
6267259197,2021-01-18 00:42:46,2021-01-07 15:36:00,Pasadena,California,626,"Calls pretending to be government, businesses, or family and friends",Y
5153710811,2021-01-18 00:42:54,2021-01-16 00:07:00,Des Moines,Iowa,515,Other,Y
9495293439,2021-01-18 00:42:56,2021-01-06 17:28:00,,California,949,No Subject Provided,
9706690537,2021-01-18 00:43:31,2021-01-12 14:05:00,Loveland,Colorado,970,"Calls pretending to be government, businesses, or family and friends",Y
9497365994,2021-01-18 00:43:42,2021-01-05 16:38:00,,California,949,No Subject Provided,
9498887287,2021-01-18 00:44:22,2021-01-17 15:38:00,,California,949,No Subject Provided,
9494597416,2021-01-18 00:44:54,2021-01-17 09:47:00,,California,949,No Subject Provided,
9495898891,2021-01-18 00:45:38,2021-01-16 15:02:00,,California,949,No Subject Provided,
9498598145,2021-01-18 00:46:15,2021-01-16 10:16:00,,California,949,No Subject Provided,
8187008616,2021-01-18 00:46:45,2021-01-15 10:57:00,,California,818,Other,Y
9494579941,2021-01-18 00:46:50,2021-01-16 09:57:00,,California,949,No Subject Provided,
9492876068,2021-01-18 00:47:28,2021-01-15 11:14:00,,California,949,No Subject Provided,
8188309101,2021-01-18 00:47:47,2021-01-15 12:48:00,,California,818,Other,Y
9492646985,2021-01-18 00:48:05,2021-01-14 20:18:00,,California,949,No Subject Provided,
9492733932,2021-01-18 00:48:38,2021-01-14 14:57:00,,California,949,No Subject Provided,
9499233200,2021-01-18 00:49:16,2021-01-13 10:41:00,,California,949,No Subject Provided,
8182908362,2021-01-18 00:49:46,2021-01-13 08:12:00,,California,949,No Subject Provided,
9492620866,2021-01-18 00:50:18,2021-01-12 15:18:00,,California,949,No Subject Provided,
9494859100,2021-01-18 00:50:58,2021-01-12 15:13:00,,California,949,No Subject Provided,
2133574125,2021-01-18 00:51:34,2021-01-12 13:35:00,,California,949,No Subject Provided,
8182908362,2021-01-18 00:53:13,2021-01-11 17:53:00,,California,949,No Subject Provided,
9094827124,2021-01-18 00:53:16,2021-01-15 13:21:00,,California,818,Warranties  & protection plans,Y
3853081601,2021-01-18 00:53:46,2021-01-11 13:59:00,,California,949,No Subject Provided,
9492150718,2021-01-18 00:54:33,2021-01-10 10:15:00,,California,949,No Subject Provided,
9492150530,2021-01-18 00:55:09,2021-01-09 15:25:00,,California,949,No Subject Provided,
7164759527,2021-01-18 00:55:45,2021-01-15 12:26:00,,California,818,Other,Y
8187823983,2021-01-18 00:56:24,2021-01-15 14:16:00,,California,818,Other,Y
8188429086,2021-01-18 00:58:07,2021-01-16 12:38:00,,California,818,Other,Y
6268722530,2021-01-18 00:58:49,2021-01-07 17:16:00,Pasadena,California,626,"Reducing your debt (credit cards, mortgage, student loans)",Y
8182481017,2021-01-18 00:59:45,2021-01-16 17:00:00,,California,818,Other,Y
8185614215,2021-01-18 01:00:40,2021-01-16 15:45:00,,California,818,Other,Y
6196941941,2021-01-18 01:02:22,2020-12-29 12:04:00,Pasadena,California,626,Warranties  & protection plans,Y
9206277132,2021-01-18 01:02:23,2021-01-17 00:00:00,,Wisconsin,920,Computer  & technical support,Y
9284157487,2021-01-18 01:05:48,2021-01-15 09:20:00,,Arizona,928,Dropped call or no message,Y
9087474282,2021-01-18 01:07:23,2021-01-12 13:58:00,Loveland,Colorado,970,Other,Y
8185883108,2021-01-18 01:07:35,2021-01-16 17:53:00,,California,818,Other,Y
2084080596,2021-01-18 01:08:07,2021-01-14 15:20:00,,Arizona,928,Dropped call or no message,Y
3152328257,2021-01-18 01:08:21,2021-01-16 02:30:00,Bellevue,Washington,425,"Calls pretending to be government, businesses, or family and friends",Y
6263050574,2021-01-18 01:13:40,2020-12-29 00:00:00,Pasadena,California,626,Other,Y
6262819432,2021-01-18 01:24:07,2021-01-13 10:51:00,Pasadena,California,626,"Energy, solar,  & utilities",Y
4232245123,2021-01-18 01:25:57,2021-01-08 14:00:00,Pasadena,California,626,"Reducing your debt (credit cards, mortgage, student loans)",Y
7206432642,2021-01-18 01:30:44,2021-01-11 14:28:00,Loveland,Colorado,970,"Calls pretending to be government, businesses, or family and friends",Y
3152328257,2021-01-18 01:30:49,2021-01-16 14:30:00,Bellevue,Washington,425,Computer  & technical support,Y
5419957775,2021-01-18 01:40:09,2021-01-11 10:23:00,,Oregon,971,Warranties  & protection plans,Y
