Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
4696372816,2021-01-19 00:01:04,2021-01-18 20:55:00,,California,916,Computer  & technical support,Y
7132168917,2021-01-19 00:01:36,2021-01-15 11:40:00,League City,Texas,281,"Reducing your debt (credit cards, mortgage, student loans)",Y
6362363844,2021-01-19 00:02:50,2021-01-15 11:17:00,League City,Texas,281,Dropped call or no message,Y
2407125847,2021-01-19 00:04:31,2021-01-18 15:49:00,,Colorado,303,Other,Y
7164223646,2021-01-19 00:05:25,2021-01-18 17:49:00,Burr Ridge,Illinois,716,Other,Y
5672863318,2021-01-19 00:09:01,2021-01-18 11:29:00,Lockport,Illinois,815,Dropped call or no message,Y
7404186474,2021-01-19 00:09:21,2021-01-18 22:25:00,ironton,Ohio,740,Vacation  & timeshares,Y
3155386674,2021-01-19 00:09:38,2021-01-18 13:46:00,NEW HARTFORD,New York,315,Warranties  & protection plans,Y
8153479269,2021-01-19 00:10:02,2021-01-18 10:05:00,Lockport,Illinois,815,Dropped call or no message,Y
3152328257,2021-01-19 00:10:21,2021-01-18 10:45:00,Kingsville,Missouri,816,"Calls pretending to be government, businesses, or family and friends",Y
,2021-01-19 00:11:40,2021-01-14 19:30:00,ironton,Ohio,740,Warranties  & protection plans,Y
9733804369,2021-01-19 00:13:30,2021-01-18 16:46:00,East Orange,New Jersey,973,Other,Y
5702986957,2021-01-19 00:13:33,2021-01-18 17:08:00,League City,Texas,281,Dropped call or no message,Y
3154963105,2021-01-19 00:13:56,2021-01-18 01:58:00,North Bay,New York,315,Warranties  & protection plans,Y
9739331791,2021-01-19 00:14:38,2021-01-15 03:34:00,East Orange,New Jersey,973,Warranties  & protection plans,Y
5702986957,2021-01-19 00:15:16,2021-01-18 17:04:00,League City,Texas,281,Dropped call or no message,Y
9734857750,2021-01-19 00:16:45,2021-01-15 14:13:00,East Orange,New Jersey,973,Warranties  & protection plans,Y
9732206633,2021-01-19 00:19:56,2021-01-15 11:47:00,East Orange,New Jersey,973,Other,Y
9066638203,2021-01-19 00:20:04,2021-01-18 16:35:00,League City,Texas,281,Dropped call or no message,Y
4695968026,2021-01-19 00:20:21,2021-01-18 14:26:00,,New Jersey,908,No Subject Provided,N
,2021-01-19 00:20:43,2021-01-18 16:00:00,Belle Isle,Florida,321,Work from home  & other ways to make money,Y
8608513007,2021-01-19 00:21:07,2021-01-18 10:44:00,Hartford,Connecticut,860,Warranties  & protection plans,Y
4696137578,2021-01-19 00:22:12,2021-01-18 14:31:00,,New Jersey,908,No Subject Provided,N
9737135158,2021-01-19 00:21:29,2021-01-13 12:32:00,East Orange,New Jersey,973,Other,Y
4434922803,2021-01-19 00:22:41,2021-01-18 09:12:00,Boonton,New Jersey,845,Dropped call or no message,Y
3214504173,2021-01-19 00:23:49,2021-01-18 13:06:00,Boonton,New Jersey,845,Dropped call or no message,Y
3214504173,2021-01-19 00:24:51,2021-01-18 15:08:00,Boonton,New Jersey,845,Dropped call or no message,Y
,2021-01-19 00:25:17,2021-01-04 12:00:00,Las Vegas,Nevada,800,Other,Y
3057202584,2021-01-19 00:25:35,2021-01-18 07:03:00,,Hawaii,808,Other,Y
9409990977,2021-01-19 00:26:04,2021-01-18 13:29:00,MECHANICSBURG,Pennsylvania,940,Warranties  & protection plans,Y
9087608550,2021-01-19 00:26:05,2021-01-15 12:28:00,SCOTTSDALE,Arizona,480,Other,Y
5098302661,2021-01-19 00:26:48,2021-01-18 16:23:00,WHITE SWAN,Washington,509,"Calls pretending to be government, businesses, or family and friends",Y
8552009247,2021-01-19 00:26:54,2021-01-15 10:11:00,SCOTTSDALE,Arizona,480,Other,Y
7727588129,2021-01-19 00:27:25,2021-01-19 10:41:00,West Palm Beach,Florida,561,Other,N
7194640821,2021-01-19 00:27:46,2021-01-14 11:14:00,SCOTTSDALE,Arizona,480,Other,Y
3526045318,2021-01-19 00:28:22,2021-01-19 17:28:00,West Palm Beach,Florida,561,Other,N
2815572553,2021-01-19 00:28:25,2021-01-18 15:42:00,League City,Texas,281,"Reducing your debt (credit cards, mortgage, student loans)",Y
7197813548,2021-01-19 00:28:40,2021-01-13 13:45:00,SCOTTSDALE,Arizona,480,Other,Y
9173083766,2021-01-19 00:29:26,2021-01-13 11:14:00,SCOTTSDALE,Arizona,480,Other,Y
6029009491,2021-01-19 00:30:20,2021-01-12 15:42:00,SCOTTSDALE,Arizona,480,Other,Y
8323072635,2021-01-19 00:31:14,2021-01-18 15:16:00,League City,Texas,281,Medical  & prescriptions,Y
7193006145,2021-01-19 00:31:33,2021-01-12 10:45:00,SCOTTSDALE,Arizona,480,Other,Y
4806590078,2021-01-19 00:32:40,2021-01-11 13:01:00,SCOTTSDALE,Arizona,480,Other,Y
7852848193,2021-01-19 00:33:13,2021-01-18 12:38:00,,Kansas,785,Medical  & prescriptions,Y
6068067067,2021-01-19 00:33:26,2021-01-11 11:36:00,SCOTTSDALE,Arizona,480,Other,Y
3145645657,2021-01-19 00:33:32,2021-01-18 14:11:00,University City,Missouri,314,Other,N
5207837063,2021-01-19 00:34:17,2021-01-08 15:43:00,SCOTTSDALE,Arizona,480,Other,Y
7852848234,2021-01-19 00:34:49,2021-01-18 17:28:00,,Kansas,785,Medical  & prescriptions,
9178989826,2021-01-19 00:35:08,2021-01-08 14:00:00,SCOTTSDALE,Arizona,480,Other,Y
4302059280,2021-01-19 00:35:16,2021-01-18 12:22:00,League City,Texas,281,Warranties  & protection plans,Y
3028283711,2021-01-19 00:35:57,2021-01-08 08:25:00,SCOTTSDALE,Arizona,480,Other,Y
6268225285,2021-01-19 00:36:07,2021-01-18 16:17:00,,California,818,Dropped call or no message,
7855107029,2021-01-19 00:36:25,2021-01-16 11:02:00,,Kansas,785,Medical  & prescriptions,Y
3026721320,2021-01-19 00:36:53,2021-01-08 06:34:00,SCOTTSDALE,Arizona,480,Other,Y
7142036828,2021-01-19 00:37:16,2021-01-13 06:03:00,FULLERTON,California,714,Other,Y
7855107029,2021-01-19 00:37:34,2021-01-17 18:25:00,,Kansas,785,Medical  & prescriptions,Y
3022543738,2021-01-19 00:37:50,2021-01-07 14:09:00,SCOTTSDALE,Arizona,480,Other,Y
3149978961,2021-01-19 00:38:24,2021-01-18 14:31:00,University City,Missouri,314,"Calls pretending to be government, businesses, or family and friends",Y
5012740995,2021-01-19 00:38:49,2021-01-07 12:18:00,SCOTTSDALE,Arizona,480,Other,Y
7857065521,2021-01-19 00:39:00,2021-01-13 18:18:00,,Kansas,785,Medical  & prescriptions,Y
8002172020,2021-01-19 00:39:34,2021-01-07 11:57:00,SCOTTSDALE,Arizona,480,Other,Y
7857065521,2021-01-19 00:40:02,2021-01-13 14:15:00,,Kansas,785,Medical  & prescriptions,Y
3149979340,2021-01-19 00:40:14,2021-01-18 15:52:00,University City,Missouri,314,"Calls pretending to be government, businesses, or family and friends",Y
8003696203,2021-01-19 00:40:25,2021-01-07 11:25:00,SCOTTSDALE,Arizona,480,Other,Y
6576577928,2021-01-19 00:40:58,2021-01-18 11:45:00,Westminster,California,657,Other,Y
,2021-01-19 00:41:23,2021-01-18 10:00:00,Elk Grove,California,916,Other,Y
8087388858,2021-01-19 00:42:19,2021-01-14 10:35:00,FULLERTON,California,714,Other,Y
7856652813,2021-01-19 00:42:19,2021-01-18 12:23:00,,Kansas,785,Medical  & prescriptions,Y
8024472365,2021-01-19 00:42:29,2021-01-18 17:16:00,,California,323,Other,N
