Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
5129257433,2021-01-01 00:00:09,2021-01-01 00:00:09,,Texas,915,No Subject Provided,N
8003889870,2021-01-01 00:00:12,2020-12-29 13:56:00,Spring,Texas,281,Dropped call or no message,Y
3463563444,2021-01-01 00:01:03,2020-12-30 11:01:00,Spring,Texas,281,Dropped call or no message,Y
7039214732,2021-01-01 00:01:36,2020-12-31 17:45:00,Oak Hill,Virginia,703,Other,N
8335741910,2021-01-01 00:01:56,2021-01-01 00:01:56,,Florida,239,No Subject Provided,Y
5167660619,2021-01-01 00:00:41,2021-01-01 00:00:41,,Texas,915,No Subject Provided,Y
2815490162,2021-01-01 00:02:00,2020-12-30 14:05:00,Spring,Texas,281,Dropped call or no message,Y
6037795677,2021-01-01 00:02:11,2020-12-16 18:50:00,Bow,New Hampshire,603,Other,Y
375297322719,2021-01-01 00:02:50,2020-12-31 22:28:00,Windsor,Wisconsin,608,Other,N
8042939424,2021-01-01 00:02:56,2020-12-31 16:44:00,Oak Hill,Virginia,703,Other,N
8042939423,2021-01-01 00:04:00,2020-12-31 14:27:00,Oak Hill,Virginia,703,Other,N
375297322015,2021-01-01 00:04:43,2020-12-31 22:06:00,Marengo,Iowa,319,"Calls pretending to be government, businesses, or family and friends",Y
8042939422,2021-01-01 00:04:52,2020-12-31 12:24:00,Oak Hill,Virginia,703,Other,N
8335741910,2021-01-01 00:01:57,2021-01-01 00:01:57,,Florida,239,No Subject Provided,Y
6034591240,2021-01-01 00:05:34,2020-12-16 08:59:00,Bow,New Hampshire,603,Other,Y
3463306252,2021-01-01 00:05:48,2020-12-31 16:26:00,FREMONT,Ohio,567,Other,Y
7039214732,2021-01-01 00:06:00,2020-12-31 00:08:00,Oak Hill,Virginia,703,Other,N
6037795603,2021-01-01 00:06:21,2020-12-14 17:40:00,Bow,New Hampshire,603,Other,Y
8557816198,2021-01-01 00:07:30,2020-12-31 17:24:00,FREMONT,Ohio,567,Other,Y
