Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
6052296291,2021-01-14 00:00:18,2021-01-13 13:46:00,Mission Viejo,California,949,Other,Y
2817516083,2021-01-14 00:00:55,2021-01-13 16:18:00,,Texas,281,Other,N
4697506096,2021-01-14 00:01:09,2021-01-10 14:32:00,,Pennsylvania,570,No Subject Provided,N
9168877108,2021-01-14 00:01:15,2021-01-13 16:00:00,San Diego,California,858,Other,Y
4343526296,2021-01-14 00:01:17,2021-01-13 14:27:00,Bitely,Michigan,231,Dropped call or no message,N
8442052138,2021-01-14 00:01:21,2021-01-13 13:05:00,Fort Lauderdale,Florida,954,Other,N
7739068682,2021-01-14 00:01:36,2021-01-13 09:57:00,,Illinois,773,Warranties  & protection plans,Y
2818602325,2021-01-14 00:01:56,2021-01-13 11:05:00,,Texas,281,Other,N
2318985646,2021-01-14 00:02:04,2021-01-13 14:40:00,Bitely,Michigan,231,Dropped call or no message,N
4696230137,2021-01-14 00:02:47,2021-01-10 18:19:00,,Pennsylvania,570,No Subject Provided,N
9496745547,2021-01-14 00:02:10,2021-01-13 13:27:00,Mission Viejo,California,949,Other,Y
2606399167,2021-01-14 00:02:56,2021-01-13 15:27:00,Bitely,Michigan,231,Dropped call or no message,N
9736323523,2021-01-14 00:03:06,2021-01-13 14:33:00,,New Jersey,973,No Subject Provided,Y
8884230752,2021-01-14 00:03:15,2021-01-13 16:52:00,Menands,New York,518,"Reducing your debt (credit cards, mortgage, student loans)",Y
3304358037,2021-01-14 00:03:42,2021-01-11 13:23:00,,Ohio,330,No Subject Provided,N
2129331380,2021-01-14 00:03:31,2021-01-11 12:00:00,Dearborn Heights,Michigan,313,"Calls pretending to be government, businesses, or family and friends",N
7086881542,2021-01-14 00:03:41,2021-01-13 16:21:00,,Tennessee,423,Other,Y
2318985646,2021-01-14 00:03:44,2021-01-13 16:28:00,Bitely,Michigan,231,Dropped call or no message,N
4696682422,2021-01-14 00:04:26,2021-01-11 14:33:00,,Pennsylvania,570,No Subject Provided,N
8039247218,2021-01-14 00:04:24,2021-01-13 15:38:00,,New Jersey,973,No Subject Provided,Y
2317946708,2021-01-14 00:04:27,2021-01-13 17:01:00,Bitely,Michigan,231,Dropped call or no message,N
9495699137,2021-01-14 00:04:29,2021-01-13 16:51:00,Mission Viejo,California,949,Other,Y
,2021-01-14 00:04:36,2021-01-14 12:00:00,,New York,631,Computer  & technical support,N
3307554358,2021-01-14 00:05:17,2021-01-13 10:42:00,,Ohio,330,No Subject Provided,N
2318985646,2021-01-14 00:05:12,2021-01-13 17:41:00,Bitely,Michigan,231,Dropped call or no message,N
2318985747,2021-01-14 00:06:03,2021-01-13 18:47:00,Bitely,Michigan,231,Dropped call or no message,N
4693953924,2021-01-14 00:06:04,2021-01-12 06:32:00,,Pennsylvania,570,No Subject Provided,Y
2318986047,2021-01-14 00:06:48,2021-01-13 19:19:00,Bitely,Michigan,231,Dropped call or no message,N
4696136466,2021-01-14 00:07:50,2021-01-12 12:09:00,,Pennsylvania,570,No Subject Provided,N
7188994300,2021-01-14 00:08:34,2021-01-13 19:06:00,B'klyn.,New York,718,Other,Y
4693181787,2021-01-14 00:09:33,2021-01-12 13:37:00,,Pennsylvania,570,No Subject Provided,N
7185968964,2021-01-14 00:09:47,2021-01-13 18:20:00,B'klyn.,New York,718,Other,Y
5202363445,2021-01-14 00:10:36,2021-01-13 13:12:00,Tucson,Arizona,520,"Calls pretending to be government, businesses, or family and friends",Y
7189986787,2021-01-14 00:11:02,2021-01-13 15:12:00,B'klyn.,New York,718,Other,Y
4696230137,2021-01-14 00:11:11,2021-01-13 07:37:00,,Pennsylvania,570,No Subject Provided,Y
4697976368,2021-01-14 00:12:43,2021-01-13 09:20:00,,Pennsylvania,570,No Subject Provided,N
7182494139,2021-01-14 00:12:05,2021-01-08 15:35:00,B'klyn.,New York,718,Other,Y
9368281520,2021-01-14 00:12:41,2021-01-13 12:16:00,,Texas,936,Other,N
9784195975,2021-01-14 00:12:43,2021-01-13 12:38:00,,Georgia,404,Other,Y
5202435513,2021-01-14 00:12:48,2021-01-13 13:25:00,Tucson,Arizona,520,"Calls pretending to be government, businesses, or family and friends",Y
8765833960,2021-01-14 00:13:33,2021-01-13 19:02:00,,California,559,"Calls pretending to be government, businesses, or family and friends",N
8332770618,2021-01-14 00:14:14,2021-01-13 11:54:00,,Pennsylvania,570,No Subject Provided,N
4693182680,2021-01-14 00:15:43,2021-01-13 12:12:00,,Pennsylvania,570,No Subject Provided,N
9377247887,2021-01-14 00:15:21,2021-01-14 19:05:00,WEST LIBERTY,Ohio,937,Other,
7753752566,2021-01-14 00:16:22,2021-01-13 14:34:00,,Nevada,775,No Subject Provided,Y
9127295764,2021-01-14 00:16:23,2021-01-14 15:54:00,WEST LIBERTY,Ohio,937,Other,
9092773736,2021-01-14 00:16:27,2021-01-13 12:17:00,North Hollywood,California,818,Other,N
8325830750,2021-01-14 00:16:32,2021-01-13 02:42:00,Houston,Texas,832,Other,Y
4697975310,2021-01-14 00:17:17,2021-01-13 14:50:00,,Pennsylvania,570,No Subject Provided,N
4806084676,2021-01-14 00:16:50,2020-01-13 22:05:00,,Arizona,623,No Subject Provided,Y
6052295791,2021-01-14 00:17:06,2021-01-13 16:50:00,Spring,Texas,281,Dropped call or no message,Y
8322624192,2021-01-14 00:17:38,2021-01-13 14:00:00,Houston,Texas,832,Other,Y
9376164935,2021-01-14 00:17:45,2021-01-14 12:36:00,WEST LIBERTY,Ohio,937,Other,
2813760980,2021-01-14 00:18:02,2021-01-13 15:22:00,Spring,Texas,281,Dropped call or no message,Y
3187873307,2021-01-14 00:18:33,2021-01-04 14:58:00,Temple,Texas,318,"Reducing your debt (credit cards, mortgage, student loans)",Y
8322624192,2021-01-14 00:18:43,2021-01-13 12:45:00,Houston,Texas,832,Other,Y
2818602018,2021-01-14 00:18:48,2021-01-13 15:06:00,Spring,Texas,281,Dropped call or no message,Y
8322624192,2021-01-14 00:19:31,2021-01-13 12:25:00,Houston,Texas,832,Other,Y
9791111647,2021-01-14 00:19:34,2021-01-13 11:11:00,Spring,Texas,281,Dropped call or no message,Y
8642147670,2021-01-14 00:20:20,2021-01-13 10:38:00,Spring,Texas,281,Dropped call or no message,Y
9033212987,2021-01-14 00:20:40,2021-01-13 12:00:00,Houston,Texas,832,Other,Y
2813762790,2021-01-14 00:21:07,2021-01-12 17:29:00,Spring,Texas,281,Dropped call or no message,Y
8322415422,2021-01-14 00:21:37,2021-01-13 11:02:00,Houston,Texas,832,Other,Y
6146266835,2021-01-14 00:21:52,2021-01-13 17:30:00,Blacklick,Ohio,614,Dropped call or no message,
8322415463,2021-01-14 00:22:35,2021-01-13 09:38:00,Houston,Texas,832,Other,Y
7026805208,2021-01-14 00:22:57,2021-01-13 16:37:00,Las Vegas,Nevada,702,Medical  & prescriptions,N
8322415463,2021-01-14 00:23:39,2021-01-13 09:13:00,Houston,Texas,832,Other,Y
3187871048,2021-01-14 00:24:50,2021-01-05 09:23:00,Temple,Louisiana,318,Other,N
3347930083,2021-01-14 00:24:55,2021-01-13 10:00:00,Las Vegas,Nevada,702,"Reducing your debt (credit cards, mortgage, student loans)",Y
3187115378,2021-01-14 00:27:56,2021-01-05 10:51:00,Temple,Louisiana,318,Dropped call or no message,N
2023409111,2021-01-14 00:28:41,2021-01-12 09:07:00,Washington,District of Columbia,202,Other,Y
6574953017,2021-01-14 00:29:36,2021-01-13 17:20:00,,Ohio,216,Other,Y
2404977261,2021-01-14 00:30:14,2021-01-09 10:00:00,bourbonnais,Illinois,815,No Subject Provided,Y
6509097466,2021-01-14 00:33:15,2021-01-12 00:00:00,,California,916,Vacation  & timeshares,Y
6144293641,2021-01-14 00:34:37,2021-01-13 11:03:00,Columbus,Ohio,614,"Energy, solar,  & utilities",Y
2404977899,2021-01-14 00:34:49,2021-01-09 10:10:00,bourbonnais,Illinois,815,No Subject Provided,Y
5058811351,2021-01-14 00:39:50,2021-01-13 09:07:00,Bosque Farms,New Mexico,505,"Calls pretending to be government, businesses, or family and friends",Y
4456007001,2021-01-14 00:40:22,2021-01-14 00:37:00,,Maryland,240,"Calls pretending to be government, businesses, or family and friends",Y
,2021-01-14 00:41:06,2021-01-13 14:02:00,,California,818,No Subject Provided,N
5058371128,2021-01-14 00:43:28,2021-01-13 10:05:00,Bosque Farms,New Mexico,505,"Calls pretending to be government, businesses, or family and friends",Y
6282276722,2021-01-14 00:43:36,2021-01-12 12:40:00,,California,415,Other,N
2012943209,2021-01-14 00:45:04,2021-01-14 00:43:00,Dumont,New Jersey,201,Other,Y
6169571546,2021-01-14 00:57:05,2021-01-13 10:22:00,Grand Rapids,Michigan,616,Other,
615677824,2021-01-14 00:58:07,2021-01-13 10:30:00,Grand Rapids,Michigan,616,Other,
447451214490,2021-01-14 00:59:14,2021-01-14 11:20:00,Jamui,Arkansas,870,"Lotteries, prizes  & sweepstakes",N
4059381346,2021-01-14 00:59:20,2021-01-13 15:48:00,Grand Rapids,Michigan,616,Other,
2053780473,2021-01-14 00:59:26,2021-01-13 16:40:00,Bellefonte,Pennsylvania,814,"Calls pretending to be government, businesses, or family and friends",Y
7177536251,2021-01-14 01:01:03,2020-01-13 00:00:00,,Pennsylvania,717,No Subject Provided,N
7028259041,2021-01-14 01:00:53,2021-01-13 13:03:00,,Nevada,702,Other,N
7068907126,2021-01-14 01:02:01,2021-01-13 00:00:00,Kapaau,Hawaii,808,Other,Y
8006927753,2021-01-14 01:02:33,2021-01-12 17:30:00,Bound Brook,New Jersey,732,Computer  & technical support,N
8084377905,2021-01-14 01:05:40,2021-01-13 12:00:00,Rockmart,Georgia,770,Other,N
,2021-01-14 01:08:19,2021-01-14 10:58:00,,South Carolina,803,Other,Y
8652809694,2021-01-14 01:10:46,2021-01-11 13:30:00,Milwaukie,Oregon,503,"Calls pretending to be government, businesses, or family and friends",Y
8447475811,2021-01-14 01:10:51,2021-01-13 15:08:00,Highlands Ranch,Colorado,303,Other,N
7018662286,2021-01-14 01:10:53,2021-01-13 23:09:00,Morgan,Utah,435,Other,Y
4242994895,2021-01-14 01:12:02,2021-01-13 17:53:00,,California,619,Dropped call or no message,N
3097050963,2021-01-14 01:13:07,2021-01-13 12:00:00,Muskego,Wisconsin,262,"Calls pretending to be government, businesses, or family and friends",Y
8458582734,2021-01-14 01:13:49,2021-01-13 13:41:00,Brooklyn,New York,917,Warranties  & protection plans,Y
