Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
6309816220,2021-01-08 00:00:00,2021-01-07 14:12:00,Willowbrook,Illinois,630,Dropped call or no message,
2814443270,2021-01-08 00:00:04,2021-01-04 18:02:00,Spring,Texas,281,Dropped call or no message,Y
4402868100,2021-01-08 00:00:25,2021-01-06 15:32:00,,Ohio,216,No Subject Provided,N
9042995196,2021-01-08 00:00:57,2021-01-07 15:50:00,Spring,Texas,281,Dropped call or no message,Y
5134931616,2021-01-08 00:02:19,2021-01-06 14:10:00,,Ohio,216,No Subject Provided,N
2088961629,2021-01-08 00:01:44,2021-01-07 11:56:00,Spring,Texas,281,Dropped call or no message,Y
,2021-01-08 00:02:26,2020-12-02 13:13:00,Lancaster,California,310,Other,N
4693718631,2021-01-08 00:02:46,2021-01-06 17:42:00,Spring,Texas,281,Dropped call or no message,Y
6304917276,2021-01-08 00:02:55,2021-01-07 16:25:00,Willowbrook,Illinois,630,Warranties  & protection plans,
8134048691,2021-01-08 00:03:08,2021-01-08 00:03:08,,Texas,832,No Subject Provided,Y
2544101354,2021-01-08 00:03:23,2021-01-08 00:03:23,,Texas,254,No Subject Provided,Y
9033009275,2021-01-08 00:02:33,2021-01-08 00:02:33,,Texas,832,No Subject Provided,Y
4252025576,2021-01-08 00:02:42,2021-01-08 00:02:42,,Washington,206,No Subject Provided,Y
2077978162,2021-01-08 00:02:48,2021-01-08 00:02:48,,Texas,832,No Subject Provided,Y
2813777570,2021-01-08 00:03:32,2021-01-06 17:16:00,Spring,Texas,281,Dropped call or no message,Y
6282615396,2021-01-08 00:04:10,2021-01-07 20:40:00,,California,510,Other,Y
2817664143,2021-01-08 00:04:27,2021-01-06 15:37:00,Spring,Texas,281,Dropped call or no message,Y
,2021-01-08 00:04:37,2021-01-06 12:06:00,Louisville,Colorado,720,Other,Y
8882036818,2021-01-08 00:05:12,2021-01-07 12:50:00,Gates,North Carolina,252,"Calls pretending to be government, businesses, or family and friends",Y
2817476245,2021-01-08 00:05:13,2021-01-06 14:44:00,Spring,Texas,281,Dropped call or no message,Y
8139289274,2021-01-08 00:05:19,2021-01-07 18:53:00,TAMPA,Florida,813,"Energy, solar,  & utilities",Y
7754312802,2021-01-08 00:06:09,2021-01-06 16:59:00,,Ohio,216,No Subject Provided,N
7136965500,2021-01-08 00:06:07,2021-01-05 19:17:00,Spring,Texas,281,Dropped call or no message,Y
8882036796,2021-01-08 00:06:49,2021-01-04 16:55:00,Gates,North Carolina,252,"Calls pretending to be government, businesses, or family and friends",Y
2813761070,2021-01-08 00:07:28,2021-01-05 13:18:00,Spring,Texas,281,Dropped call or no message,Y
5134931616,2021-01-08 00:04:31,2021-01-06 16:57:00,,Ohio,216,No Subject Provided,N
6306059579,2021-01-08 00:03:34,2021-01-08 00:03:34,,Texas,832,No Subject Provided,Y
4156599170,2021-01-08 00:05:49,2021-01-08 00:05:49,,California,714,No Subject Provided,Y
3202169637,2021-01-08 00:05:11,2021-01-08 00:05:11,,California,707,No Subject Provided,Y
2543302039,2021-01-08 00:03:30,2021-01-08 00:03:30,,Florida,321,No Subject Provided,Y
2813708106,2021-01-08 00:08:21,2021-01-05 11:39:00,Spring,Texas,281,Dropped call or no message,Y
6309127463,2021-01-08 00:08:38,2020-12-22 10:41:00,Willowbrook,Illinois,630,Other,
2708549368,2021-01-08 00:09:38,2021-01-07 11:48:00,,Ohio,216,No Subject Provided,N
5672430903,2021-01-08 00:09:13,2021-01-07 11:41:00,FREMONT,Ohio,567,Other,Y
2109423245,2021-01-08 00:09:37,2021-01-07 13:07:00,Gates,North Carolina,252,"Calls pretending to be government, businesses, or family and friends",Y
4842712666,2021-01-08 00:11:11,2021-01-07 12:59:00,,Ohio,216,No Subject Provided,N
4195132557,2021-01-08 00:10:58,2021-01-07 11:32:00,FREMONT,Ohio,419,Other,Y
4804387390,2021-01-08 00:11:51,2020-12-17 15:12:00,Willowbrook,Illinois,630,Other,
4085938557,2021-01-08 00:11:56,2021-01-07 11:58:00,FREMONT,Ohio,419,Other,Y
2162529298,2021-01-08 00:12:43,2021-01-07 15:11:00,,Ohio,216,No Subject Provided,N
2163025556,2021-01-08 00:12:47,2021-01-07 12:40:00,FREMONT,Ohio,419,Other,Y
9163148559,2021-01-08 00:12:48,2021-01-07 21:05:00,PORT TOWNSEND,Washington,360,Other,N
8552017014,2021-01-08 00:14:06,2021-01-07 15:58:00,,Ohio,216,No Subject Provided,N
