Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
2123720731,2020-12-21 00:00:59,2020-12-20 14:33:00,Upland,California,909,Other,Y
6264358617,2020-12-21 00:02:21,2020-12-18 09:51:00,,California,310,Warranties  & protection plans,Y
7145362048,2020-12-21 00:04:04,2020-11-29 11:56:00,Brea,California,714,Dropped call or no message,N
7149909932,2020-12-21 00:07:24,2020-12-18 15:23:00,Brea,California,714,Dropped call or no message,Y
,2020-12-21 00:07:44,2020-12-18 17:18:00,,Texas,214,No Subject Provided,N
7149903570,2020-12-21 00:08:42,2020-12-18 15:07:00,Brea,California,714,Dropped call or no message,Y
7149905108,2020-12-21 00:09:25,2020-12-18 14:46:00,Brea,California,714,Dropped call or no message,Y
7149907264,2020-12-21 00:10:15,2020-12-18 14:07:00,Brea,California,714,Dropped call or no message,Y
8185649070,2020-12-21 00:11:08,2020-12-18 13:51:00,Brea,California,714,Dropped call or no message,Y
7149906432,2020-12-21 00:11:49,2020-12-18 13:49:00,Brea,California,714,Dropped call or no message,Y
7149906702,2020-12-21 00:12:22,2020-12-18 13:32:00,Brea,California,714,Dropped call or no message,Y
7149903667,2020-12-21 00:13:03,2020-12-18 12:51:00,Brea,California,714,Dropped call or no message,Y
3104723424,2020-12-21 00:13:42,2020-12-18 17:25:00,Los Angeles,California,310,"Energy, solar,  & utilities",Y
7149901072,2020-12-21 00:13:57,2020-12-18 12:21:00,Brea,California,714,Dropped call or no message,Y
7149690871,2020-12-21 00:14:45,2020-12-18 11:53:00,Brea,California,714,Dropped call or no message,Y
7149909857,2020-12-21 00:15:23,2020-12-18 11:20:00,Brea,California,714,Dropped call or no message,Y
9708843049,2020-12-21 00:16:06,2020-12-17 16:56:00,Brea,California,714,Dropped call or no message,Y
3104711006,2020-12-21 00:16:50,2020-12-20 09:43:00,Los Angeles,California,310,Other,N
8005861371,2020-12-21 00:17:06,2020-12-19 09:14:00,Berkeley,California,510,Other,Y
3104760103,2020-12-21 00:19:07,2020-12-20 11:10:00,Los Angeles,California,310,Other,N
3104760103,2020-12-21 00:22:00,2020-12-20 14:17:00,Los Angeles,California,310,Other,N
3372260494,2020-12-21 00:24:17,2020-12-01 10:05:00,New Iberia,Louisiana,337,Medical  & prescriptions,Y
7195915000,2020-12-21 00:29:01,2020-12-18 10:41:00,Colorado Springs,Colorado,719,"Energy, solar,  & utilities",Y
9156718789,2020-12-21 00:31:34,2020-12-15 12:00:00,Wixom,Michigan,248,"Calls pretending to be government, businesses, or family and friends",N
8005363726,2020-12-21 00:35:31,2020-12-14 13:37:00,Loveland,Colorado,970,"Calls pretending to be government, businesses, or family and friends",Y
,2020-12-21 00:36:27,2020-12-18 13:02:00,Steger,Illinois,984,"Calls pretending to be government, businesses, or family and friends",Y
3618656998,2020-12-21 00:41:19,2020-12-15 14:36:00,Everett,Washington,206,Other,Y
6167947422,2020-12-21 00:44:54,2020-12-20 15:28:00,Lowell,Michigan,616,"Calls pretending to be government, businesses, or family and friends",Y
6167948043,2020-12-21 00:46:14,2020-12-20 15:50:00,Lowell,Michigan,616,"Calls pretending to be government, businesses, or family and friends",Y
6167943879,2020-12-21 00:47:15,2020-12-20 16:11:00,Lowell,Michigan,616,"Calls pretending to be government, businesses, or family and friends",Y
6167949055,2020-12-21 00:48:12,2020-12-20 16:34:00,Lowell,Michigan,616,"Calls pretending to be government, businesses, or family and friends",Y
6167942681,2020-12-21 00:49:04,2020-12-20 16:58:00,Lowell,Michigan,616,"Calls pretending to be government, businesses, or family and friends",Y
6167941142,2020-12-21 00:49:59,2020-12-20 17:12:00,Lowell,Michigan,616,"Calls pretending to be government, businesses, or family and friends",Y
6167947650,2020-12-21 00:50:57,2020-12-20 17:38:00,Lowell,Michigan,616,"Calls pretending to be government, businesses, or family and friends",Y
