Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
7405065446,2020-12-28 00:00:54,2020-12-27 22:14:00,,Minnesota,763,"Calls pretending to be government, businesses, or family and friends",Y
3049569110,2020-12-28 00:00:59,2020-12-22 11:12:00,Nitro,West Virginia,304,Dropped call or no message,N
7725298444,2020-12-28 00:01:49,2020-12-27 22:14:00,,Minnesota,763,"Calls pretending to be government, businesses, or family and friends",Y
5176774495,2020-12-28 00:02:37,2020-12-27 22:14:00,,Minnesota,763,"Calls pretending to be government, businesses, or family and friends",Y
196871977782,2020-12-28 00:03:08,2020-12-27 07:30:00,Vinkk my,Iowa,515,Other,Y
6015172461,2020-12-28 00:03:24,2020-12-27 22:14:00,,Minnesota,763,"Calls pretending to be government, businesses, or family and friends",Y
3049944846,2020-12-28 00:03:41,2020-12-21 15:17:00,Nitro,West Virginia,304,Dropped call or no message,N
5405602366,2020-12-28 00:04:14,2020-12-27 22:14:00,,Minnesota,763,"Calls pretending to be government, businesses, or family and friends",Y
2062935365,2020-12-28 00:04:58,2020-12-27 21:02:00,,Washington,206,Other,Y
9123523101,2020-12-28 00:05:01,2020-12-27 22:14:00,,Minnesota,763,"Calls pretending to be government, businesses, or family and friends",Y
3042446689,2020-12-28 00:05:28,2020-12-26 08:25:00,Los Angeles,California,310,Dropped call or no message,N
5702954115,2020-12-28 00:05:52,2020-12-27 22:14:00,,Minnesota,763,"Calls pretending to be government, businesses, or family and friends",Y
9806992981,2020-12-28 00:06:37,2020-12-27 22:14:00,,Minnesota,763,"Calls pretending to be government, businesses, or family and friends",Y
3234494446,2020-12-28 00:07:19,2020-12-27 22:14:00,,Minnesota,763,"Calls pretending to be government, businesses, or family and friends",Y
4232051102,2020-12-28 00:07:47,2020-12-28 00:05:00,,Iowa,319,Other,Y
3475188846,2020-12-28 00:07:48,2020-12-27 00:02:00,Lawrence Township,New Jersey,609,"Calls pretending to be government, businesses, or family and friends",Y
3234494446,2020-12-28 00:08:15,2020-12-27 22:14:00,,Minnesota,763,"Calls pretending to be government, businesses, or family and friends",Y
2543669084,2020-12-28 00:08:57,2020-12-27 22:14:00,,Minnesota,763,"Calls pretending to be government, businesses, or family and friends",Y
7405065446,2020-12-28 00:10:55,2020-12-27 00:00:00,,Minnesota,763,"Calls pretending to be government, businesses, or family and friends",Y
9807451031,2020-12-28 00:12:48,2020-12-27 16:48:00,YPSILANTI,Michigan,734,Dropped call or no message,
7732430399,2020-12-28 00:20:52,2020-12-27 19:55:00,Renton,Washington,971,"Calls pretending to be government, businesses, or family and friends",Y
5706291289,2020-12-28 00:22:59,2020-12-28 00:00:00,Tannersville,Pennsylvania,484,Other,N
4806906539,2020-12-28 00:25:20,2020-12-27 10:50:00,Peoria,Arizona,623,Dropped call or no message,Y
4806906539,2020-12-28 00:26:40,2020-12-27 10:51:00,Peoria,Arizona,623,Dropped call or no message,Y
4848675580,2020-12-28 00:32:55,2020-12-27 08:00:00,Tannersville,Pennsylvania,570,Other,N
2107570606,2020-12-28 00:40:51,2020-12-21 14:03:00,ISELIN,New Jersey,732,Computer  & technical support,Y
2094989029,2020-12-28 00:44:25,2020-12-24 00:00:00,ISELIN,New Jersey,732,"Energy, solar,  & utilities",Y
2094436703,2020-12-28 00:54:45,2020-12-23 12:16:00,,California,650,Other,N
6505401875,2020-12-28 00:55:46,2020-12-23 12:40:00,,California,650,Other,N
2093098210,2020-12-28 00:56:46,2020-12-22 09:32:00,,California,650,Other,N
6505401872,2020-12-28 00:58:09,2020-12-22 09:32:00,,California,650,Other,N
3463821836,2020-12-28 01:02:16,2020-12-27 12:12:00,Middletown,Delaware,302,Other,Y
9707881515,2020-12-28 01:05:45,2020-11-27 13:16:00,,Colorado,970,Other,
6504379574,2020-12-28 01:14:22,2020-12-25 14:18:00,,Maryland,301,Dropped call or no message,N
4195770069,2020-12-28 01:18:37,2020-12-28 08:00:00,Bellevue,Ohio,419,Computer  & technical support,Y
,2020-12-28 01:18:48,2020-12-27 17:15:00,Bainbridge Island,Washington,907,"Lotteries, prizes  & sweepstakes",Y
3233135581,2020-12-28 01:22:48,2020-12-26 08:43:00,Monrovia,California,626,"Calls pretending to be government, businesses, or family and friends",Y
4849429182,2020-12-28 01:36:52,2020-12-27 17:21:00,,Pennsylvania,610,No Subject Provided,N
,2020-12-28 01:39:49,2017-12-15 12:00:00,Salt Lake City,Utah,801,Other,N
,2020-12-28 01:43:19,2020-12-16 13:00:00,Saint Petersburg,Florida,727,"Calls pretending to be government, businesses, or family and friends",Y
995577895576,2020-12-28 02:09:36,2020-12-28 01:00:00,Murray,Iowa,641,Other,
8054227752,2020-12-28 02:24:56,2020-12-14 08:21:00,,Washington,206,"Reducing your debt (credit cards, mortgage, student loans)",N
2029641418,2020-12-28 02:36:15,2020-12-27 11:58:00,Torrance,California,310,Dropped call or no message,N
9375181075,2020-12-28 02:57:27,2020-12-27 16:03:00,Columbus,Ohio,614,Vacation  & timeshares,Y
8037737553,2020-12-28 03:22:40,2020-12-01 00:00:00,,North Carolina,704,"Reducing your debt (credit cards, mortgage, student loans)",Y
7312563110,2020-12-28 03:32:03,2020-12-27 12:20:00,Miami,Florida,731,Other,Y
7312563110,2020-12-28 03:33:53,2020-12-27 12:20:00,Miami,Florida,786,Other,Y
2029641424,2020-12-28 03:37:28,2020-12-27 15:32:00,San Francisco,California,415,Other,Y
,2020-12-28 03:38:47,2020-12-28 01:58:00,Kodungallur,North Dakota,701,Other,Y
2029641424,2020-12-28 03:38:55,2020-12-27 10:33:00,San Francisco,California,415,Other,Y
8432779226,2020-12-28 04:02:43,2020-12-27 15:25:00,Longmont,Colorado,303,Other,Y
2029982925,2020-12-28 04:06:38,2020-12-28 20:34:00,,Kansas,913,No Subject Provided,N
8122894854,2020-12-28 04:34:46,2020-12-22 00:00:00,Wabash,Indiana,765,Other,Y
4322389722,2020-12-28 04:37:27,2020-12-27 04:04:00,Midland,Texas,630,Warranties  & protection plans,Y
7172009225,2020-12-28 05:05:40,2020-12-23 16:02:00,,South Carolina,717,Warranties  & protection plans,Y
3108218908,2020-12-28 05:06:29,2020-12-27 20:00:00,,California,310,Other,Y
8762275795,2020-12-28 05:14:49,2020-12-28 02:18:00,Oelwein,Iowa,319,Dropped call or no message,Y
5015092816,2020-12-28 05:20:54,2020-12-27 18:06:00,Liberty Corner,New Jersey,908,Other,N
,2020-12-28 06:06:35,2020-12-15 10:15:00,Walnutport,Pennsylvania,610,Other,Y
2029184714,2020-12-28 06:10:49,2020-12-27 15:19:00,CYPRESS,Texas,281,Dropped call or no message,Y
2813731014,2020-12-28 06:11:36,2020-12-27 11:13:00,CYPRESS,Texas,281,Dropped call or no message,Y
7072280900,2020-12-28 06:24:25,2020-12-26 10:17:00,Rohnert Park,California,707,Other,Y
7078280619,2020-12-28 06:25:52,2020-12-27 12:23:00,Rohnert Park,California,707,Other,Y
4176651332,2020-12-28 06:27:21,2020-12-27 16:58:00,Rohnert Park,California,707,Other,Y
2187555021,2020-12-28 06:29:02,2020-12-27 16:27:00,Rohnert Park,California,707,Dropped call or no message,Y
7063818190,2020-12-28 06:31:06,2020-12-27 20:35:00,,Georgia,706,Dropped call or no message,Y
4706810544,2020-12-28 06:31:38,2020-12-27 15:01:00,,Georgia,706,Dropped call or no message,Y
2039241705,2020-12-28 06:42:51,2020-12-27 17:17:00,,Connecticut,203,Dropped call or no message,Y
3322337007,2020-12-28 06:47:55,2020-12-26 08:59:00,Brick,New Jersey,732,Dropped call or no message,Y
3322337007,2020-12-28 06:48:53,2020-12-26 13:35:00,Brick,New Jersey,732,Dropped call or no message,Y
3322328025,2020-12-28 06:49:33,2020-12-28 08:51:00,Brick,New Jersey,732,Dropped call or no message,Y
3322328025,2020-12-28 06:50:08,2020-12-27 10:00:00,Brick,New Jersey,732,Dropped call or no message,Y
7242004371,2020-12-28 07:04:46,2020-12-27 20:39:00,Ellwood City,Pennsylvania,724,"Calls pretending to be government, businesses, or family and friends",Y
7242004371,2020-12-28 07:09:50,2020-12-27 20:39:00,Ellwood City,Pennsylvania,724,"Calls pretending to be government, businesses, or family and friends",Y
6197506605,2020-12-28 07:11:25,2020-12-28 02:55:00,,California,619,Other,N
,2020-12-28 07:12:25,2020-12-27 19:20:00,,South Carolina,843,No Subject Provided,
8434283273,2020-12-28 07:13:54,2020-12-27 19:20:00,,South Carolina,843,No Subject Provided,
2029982925,2020-12-28 07:13:57,2020-12-27 21:00:00,,Virginia,703,Other,N
,2020-12-28 07:18:29,2020-12-28 03:01:00,Annapolis,Maryland,301,Other,Y
,2020-12-28 07:47:17,2020-12-28 05:45:00,Waterloo,Iowa,319,Dropped call or no message,Y
2033093582,2020-12-28 07:53:41,2020-12-22 19:30:00,,Connecticut,203,No Subject Provided,
2033092772,2020-12-28 07:57:05,2020-12-26 19:15:00,,Connecticut,203,No Subject Provided,N
2033093125,2020-12-28 08:00:27,2020-12-27 20:00:00,,Connecticut,203,No Subject Provided,N
8885240692,2020-12-28 08:02:16,2020-12-27 12:10:00,Stanardsville,Virginia,434,Other,Y
8447893767,2020-12-28 08:02:17,2020-12-26 15:14:00,Jonesboro,Louisiana,318,Other,N
4054609586,2020-12-28 08:05:16,2020-12-28 06:59:00,Norman,Oklahoma,405,Other,Y
4342774122,2020-12-28 08:05:44,2020-12-27 18:36:00,Stanardsville,Virginia,434,Other,Y
2602016037,2020-12-28 08:07:53,2020-12-26 09:07:00,,North Carolina,704,"Reducing your debt (credit cards, mortgage, student loans)",N
2602016062,2020-12-28 08:08:21,2020-12-26 12:49:00,,North Carolina,704,"Reducing your debt (credit cards, mortgage, student loans)",N
3175638458,2020-12-28 08:09:02,2020-12-27 16:30:00,,North Carolina,704,"Reducing your debt (credit cards, mortgage, student loans)",N
8889820154,2020-12-28 08:09:05,2020-12-28 08:04:00,Gaithersburg,Maryland,301,Dropped call or no message,
3175638458,2020-12-28 08:09:30,2020-12-27 11:22:00,,North Carolina,704,"Reducing your debt (credit cards, mortgage, student loans)",N
3175638458,2020-12-28 08:10:06,2020-12-27 12:52:00,,North Carolina,704,"Reducing your debt (credit cards, mortgage, student loans)",N
4105558164,2020-12-28 08:10:24,2020-12-28 08:08:00,Pasadena,Maryland,410,Other,Y
3175638458,2020-12-28 08:10:32,2020-12-27 17:12:00,,North Carolina,704,"Reducing your debt (credit cards, mortgage, student loans)",N
3175638458,2020-12-28 08:11:01,2020-12-27 14:13:00,,North Carolina,704,"Reducing your debt (credit cards, mortgage, student loans)",N
3175698458,2020-12-28 08:11:27,2020-12-27 18:10:00,,North Carolina,704,"Reducing your debt (credit cards, mortgage, student loans)",N
5184444332,2020-12-28 08:15:45,2020-12-23 16:54:00,,New York,518,Dropped call or no message,Y
8459991222,2020-12-28 08:17:36,2020-12-27 21:38:00,monsey,New York,845,Other,Y
2126235216,2020-12-28 08:18:56,2020-12-28 06:10:00,,Colorado,303,Other,Y
9787319280,2020-12-28 08:21:24,2020-12-28 08:18:00,White Horse Beach,Massachusetts,508,Other,Y
2845450523,2020-12-28 08:24:27,2020-12-28 08:23:00,Bulls Gap,Tennessee,865,Other,N
2126236698,2020-12-28 08:25:29,2020-12-28 08:22:00,,Florida,904,Dropped call or no message,N
3105266812,2020-12-28 08:26:33,2020-12-28 08:14:00,Middle Village,New York,718,Other,Y
6233214228,2020-12-28 08:27:17,2020-12-27 16:48:00,,Arizona,602,No Subject Provided,N
8009444601,2020-12-28 08:32:18,2020-12-28 08:12:00,,Virginia,757,No Subject Provided,
6175223476,2020-12-28 08:33:12,2020-12-28 08:31:00,,Massachusetts,617,"Calls pretending to be government, businesses, or family and friends",Y
7573640613,2020-12-28 08:34:34,2020-12-28 08:15:00,Stafford,Virginia,540,Charities,N
5302089205,2020-12-28 08:34:39,2020-12-27 08:29:00,,Connecticut,203,No Subject Provided,Y
4342044551,2020-12-28 08:36:19,2020-12-22 12:56:00,Stafford,Virginia,540,Home improvement  & cleaning,N
5302089205,2020-12-28 08:36:41,2020-12-28 00:00:00,,Connecticut,203,No Subject Provided,Y
3042459964,2020-12-28 08:36:56,2020-12-28 08:32:00,bluefield,Virginia,304,Other,N
4697975176,2020-12-28 08:39:29,2020-12-27 14:21:00,jackson,Michigan,517,Other,N
3862065783,2020-12-28 08:39:48,2020-12-27 19:32:00,McAlpin,Florida,386,Other,N
9542719948,2020-12-28 08:41:05,2020-12-28 06:00:00,North Lauderdale,Florida,954,Other,N
2135680826,2020-12-28 08:44:21,2020-12-24 12:00:00,Glendale,Arizona,614,"Reducing your debt (credit cards, mortgage, student loans)",N
8336570590,2020-12-28 08:44:37,2020-12-28 08:21:00,cascade,Virginia,434,Dropped call or no message,Y
2845450547,2020-12-28 08:46:11,2020-12-28 07:25:00,E. Moline,Illinois,309,Other,Y
4191284249,2020-12-28 08:46:17,2020-12-23 11:10:00,Bellevue,Ohio,567,Dropped call or no message,N
8778189173,2020-12-28 08:47:12,2020-12-28 08:43:00,Lee,New Hampshire,603,Other,
5168888529,2020-12-28 08:48:44,2020-12-28 08:14:00,atl bch,New York,516,Other,N
3523143625,2020-12-28 08:49:02,2020-12-28 08:14:00,Leesburg,Florida,352,Other,N
6193013802,2020-12-28 08:49:57,2020-12-23 16:41:00,,Pennsylvania,814,Dropped call or no message,Y
8033102103,2020-12-28 08:50:33,2020-12-28 08:00:00,COPE,South Carolina,803,Other,N
2624909322,2020-12-28 08:51:01,2020-12-24 10:57:00,,Pennsylvania,814,Dropped call or no message,Y
5512209947,2020-12-28 08:51:24,2020-12-28 08:47:00,Boca Raton,Florida,212,Dropped call or no message,Y
7274759119,2020-12-28 08:51:37,2020-12-28 08:44:00,clearwater,Florida,727,"Energy, solar,  & utilities",N
6672399883,2020-12-28 08:52:29,2020-12-28 08:50:00,Dover,Pennsylvania,410,Charities,N
,2020-12-28 08:54:09,2020-12-28 08:40:00,Okemos,Michigan,517,"Calls pretending to be government, businesses, or family and friends",N
5614620205,2020-12-28 08:55:16,2020-12-28 08:37:00,Boca Raton,Florida,561,"Reducing your debt (credit cards, mortgage, student loans)",Y
4109446431,2020-12-28 08:56:28,2020-12-21 12:11:00,Dover,Maryland,410,Warranties  & protection plans,Y
,2020-12-28 08:56:59,2020-12-28 06:00:00,,Iowa,641,Other,Y
3609403234,2020-12-28 08:57:57,2020-12-27 12:51:00,Yakima,Washington,509,Dropped call or no message,Y
2484584585,2020-12-28 08:58:42,2020-12-28 08:55:00,Charlotte,North Carolina,704,Dropped call or no message,Y
6612433591,2020-12-28 08:58:44,2020-12-27 09:13:00,Yakima,Washington,509,Dropped call or no message,Y
