Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
8474649875,2021-01-11 00:00:35,2021-01-04 12:02:00,CHICAGO,Illinois,312,No Subject Provided,Y
8662434956,2021-01-11 00:00:59,2021-01-09 16:30:00,Rochester Hills,Michigan,248,Warranties  & protection plans,Y
3128204629,2021-01-11 00:01:41,2021-01-03 13:55:00,CHICAGO,Illinois,312,No Subject Provided,Y
8474649875,2021-01-11 00:02:32,2021-01-02 12:05:00,CHICAGO,Illinois,312,No Subject Provided,Y
8474649875,2021-01-11 00:03:41,2021-01-01 15:56:00,CHICAGO,Illinois,312,No Subject Provided,Y
5072991924,2021-01-11 00:05:56,2021-01-09 10:11:00,La Crescent,Minnesota,507,Warranties  & protection plans,Y
5617312254,2021-01-11 00:06:37,2021-01-08 15:36:00,Crossville,Tennessee,931,Other,
4085232328,2021-01-11 00:08:10,2021-01-10 16:56:00,Beech Bluff,Tennessee,731,Other,Y
4160573102,2021-01-11 00:09:58,2021-01-08 09:56:00,Beech Bluff,Tennessee,731,Other,Y
6107915764,2021-01-11 00:10:45,2021-01-10 11:13:00,Allentown,Pennsylvania,610,"Calls pretending to be government, businesses, or family and friends",N
4160281181,2021-01-11 00:11:22,2021-01-08 11:15:00,Beech Bluff,Tennessee,731,Other,Y
4164719304,2021-01-11 00:12:32,2021-01-08 12:40:00,Beech Bluff,Tennessee,731,Other,Y
7316976198,2021-01-11 00:16:10,2021-01-08 12:53:00,Beech Bluff,Tennessee,731,Other,Y
7316947928,2021-01-11 00:17:13,2021-01-08 14:27:00,Beech Bluff,Tennessee,731,Other,Y
7318059368,2021-01-11 00:18:08,2021-01-08 15:48:00,Beech Bluff,Tennessee,731,Other,Y
6025109047,2021-01-11 00:20:20,2021-01-10 22:13:00,phoenix,Arizona,602,Work from home  & other ways to make money,Y
2144570324,2021-01-11 00:20:26,2021-01-10 23:00:00,dallas,Texas,214,"Calls pretending to be government, businesses, or family and friends",Y
9037058703,2021-01-11 00:23:20,2021-01-10 23:00:00,dallas,Texas,214,"Calls pretending to be government, businesses, or family and friends",Y
2019177943,2021-01-11 00:26:44,2021-01-02 00:00:00,,Connecticut,860,No Subject Provided,Y
8662161072,2021-01-11 00:27:29,2021-01-08 08:19:00,,Texas,214,Other,Y
2545626936,2021-01-11 00:29:55,2021-01-10 23:00:00,dallas,Texas,214,"Calls pretending to be government, businesses, or family and friends",Y
3018607867,2021-01-11 00:34:46,2021-01-07 10:18:00,Calverton,Maryland,301,Other,N
3017096249,2021-01-11 00:44:22,2021-01-08 11:38:00,Calverton,Maryland,301,Other,N
4433335636,2021-01-11 00:51:02,2021-01-08 14:26:00,Calverton,Maryland,301,Other,N
4698027680,2021-01-11 00:52:23,2021-01-07 16:18:00,Salt Lake City,Utah,801,"Reducing your debt (credit cards, mortgage, student loans)",Y
8324414545,2021-01-11 00:55:34,2021-01-10 22:50:00,,Texas,832,Other,N
,2021-01-11 00:57:45,2021-01-08 15:11:00,Calverton,Maryland,301,Other,N
3152012051,2021-01-11 01:06:44,2021-01-10 20:45:00,,New York,718,"Calls pretending to be government, businesses, or family and friends",Y
2132772985,2021-01-11 01:28:16,2021-01-05 07:16:00,Palo Alto,California,650,Warranties  & protection plans,
8509326080,2021-01-11 01:33:33,2021-01-09 12:23:00,,Florida,352,No Subject Provided,
8504577509,2021-01-11 01:34:55,2021-01-09 11:24:00,,Florida,352,No Subject Provided,
9046500322,2021-01-11 01:38:51,2021-01-08 18:31:00,,Florida,352,No Subject Provided,
3052744006,2021-01-11 01:41:17,2021-01-08 17:20:00,,Florida,352,No Subject Provided,
8007991772,2021-01-11 01:49:28,2020-12-14 11:16:00,,Tennessee,731,No Subject Provided,
8009373885,2021-01-11 01:53:32,2020-12-10 11:54:00,,Tennessee,731,No Subject Provided,
4083009841,2021-01-11 01:54:36,2021-01-02 07:00:00,,California,818,"Calls pretending to be government, businesses, or family and friends",Y
8009373885,2021-01-11 01:55:36,2020-12-11 10:22:00,,Tennessee,731,No Subject Provided,
8166223907,2021-01-11 01:56:52,2021-01-10 07:00:00,,California,818,"Calls pretending to be government, businesses, or family and friends",Y
8009497277,2021-01-11 01:59:51,2020-12-19 12:37:00,,Tennessee,731,No Subject Provided,
2542929075,2021-01-11 02:01:46,2021-01-10 23:00:00,dallas,Texas,214,"Calls pretending to be government, businesses, or family and friends",Y
8006084477,2021-01-11 02:02:42,2020-10-20 11:27:00,,Tennessee,731,No Subject Provided,
5167267024,2021-01-11 02:03:43,2021-01-08 16:33:00,Garden City South,New York,516,Dropped call or no message,N
8003447484,2021-01-11 02:06:14,2020-07-20 10:07:00,,Tennessee,731,No Subject Provided,
8098404779,2021-01-11 02:05:47,2021-01-07 09:05:00,Garden City South,New York,516,Other,N
3322237097,2021-01-11 02:08:11,2021-01-09 14:05:00,Garden City South,New York,516,Other,N
2545626823,2021-01-11 02:08:43,2021-01-11 01:00:00,dallas,Texas,214,"Calls pretending to be government, businesses, or family and friends",Y
5165902449,2021-01-11 02:10:10,2021-01-08 16:21:00,Garden City South,New York,516,Other,N
8009476366,2021-01-11 02:13:16,2020-12-15 16:38:00,,Tennessee,731,No Subject Provided,
8009097599,2021-01-11 02:19:53,2021-01-08 11:41:00,,Tennessee,731,No Subject Provided,
8009097599,2021-01-11 02:23:22,2021-01-08 16:45:00,,Tennessee,731,No Subject Provided,
,2021-01-11 02:23:12,2021-01-05 09:10:00,Bakersfield,California,661,"Lotteries, prizes  & sweepstakes",Y
3322237063,2021-01-11 02:34:25,2021-01-08 15:38:00,Garden City South,New York,516,Other,N
3322237129,2021-01-11 02:35:42,2021-01-07 09:30:00,Garden City South,New York,516,Other,N
8098404779,2021-01-11 02:37:14,2021-01-07 09:05:00,Garden City South,New York,516,Dropped call or no message,N
4075918163,2021-01-11 02:37:47,2021-01-11 02:10:00,Orlando,Florida,407,"Calls pretending to be government, businesses, or family and friends",Y
3322237097,2021-01-11 02:38:33,2021-01-03 08:56:00,Garden City South,New York,516,Other,N
3322237063,2021-01-11 02:39:45,2021-01-05 14:56:00,Garden City South,New York,516,Dropped call or no message,N
8456424193,2021-01-11 02:40:50,2021-01-10 23:38:00,,Texas,214,Other,Y
9168890218,2021-01-11 02:42:43,2020-12-07 12:00:00,,California,916,"Lotteries, prizes  & sweepstakes",N
