Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
6312307524,2020-12-30 00:00:03,2020-12-28 12:57:00,,New York,631,Warranties  & protection plans,Y
3232180717,2020-12-30 00:00:19,2020-12-28 18:42:00,El Segundo,California,310,"Calls pretending to be government, businesses, or family and friends",Y
8664823084,2020-12-30 00:01:20,2020-12-28 12:31:00,El Segundo,California,310,"Calls pretending to be government, businesses, or family and friends",Y
6313272109,2020-12-30 00:01:36,2020-12-27 13:31:00,,New York,631,Dropped call or no message,Y
5048569779,2020-12-30 00:02:26,2020-12-29 08:17:00,Slidell,Louisiana,504,Warranties  & protection plans,Y
2093962005,2020-12-30 00:02:32,2020-12-27 14:19:00,El Segundo,California,310,"Calls pretending to be government, businesses, or family and friends",Y
6313560703,2020-12-30 00:02:36,2020-12-26 18:26:00,,New York,631,Warranties  & protection plans,Y
,2020-12-30 00:02:38,2020-12-27 12:00:00,,California,818,Other,Y
6313308502,2020-12-30 00:03:43,2020-12-29 11:38:00,,New York,631,Other,Y
7189603313,2020-12-30 00:03:57,2020-12-29 11:10:00,B'klyn.,New York,718,Other,Y
6055491110,2020-12-30 00:04:30,2020-12-28 15:23:00,,Ohio,216,No Subject Provided,N
8002774824,2020-12-30 00:04:04,2020-12-29 01:01:00,,California,626,"Reducing your debt (credit cards, mortgage, student loans)",N
8165598801,2020-12-30 00:05:57,2020-12-29 09:41:00,,Ohio,216,No Subject Provided,N
6196962000,2020-12-30 00:05:52,2020-12-29 02:31:00,El Cajon,California,619,"Energy, solar,  & utilities",Y
,2020-12-30 00:06:13,2020-12-29 10:13:00,,California,951,Other,Y
9497445166,2020-12-30 00:06:15,2020-12-29 17:49:00,,California,949,"Calls pretending to be government, businesses, or family and friends",Y
7047514273,2020-12-30 00:06:38,2020-12-29 22:00:00,,Colorado,719,No Subject Provided,Y
4435024162,2020-12-30 00:07:23,2020-12-29 16:18:00,,Ohio,216,No Subject Provided,N
2093000025,2020-12-30 00:06:54,2020-12-28 16:36:00,League City,Texas,281,Dropped call or no message,Y
9259357395,2020-12-30 00:06:58,2020-12-29 09:04:00,Harbor City,California,424,Warranties  & protection plans,Y
7248170209,2020-12-30 00:07:48,2020-12-29 09:34:00,,Texas,281,No Subject Provided,
6055491085,2020-12-30 00:08:52,2020-12-29 17:15:00,,Ohio,216,No Subject Provided,N
7378676877,2020-12-30 00:09:40,2020-12-29 10:42:00,,Texas,281,No Subject Provided,
2817795960,2020-12-30 00:09:28,2020-12-28 16:23:00,League City,Texas,281,Medical  & prescriptions,Y
9704472042,2020-12-30 00:11:21,2020-12-29 11:21:00,,Texas,281,No Subject Provided,
2062991759,2020-12-30 00:12:57,2020-12-28 12:25:00,League City,Texas,281,Dropped call or no message,Y
5102839355,2020-12-30 00:13:30,2020-12-29 17:24:00,MONTGOMERY,Alabama,334,Other,N
2812531192,2020-12-30 00:14:45,2020-12-29 13:39:00,,Texas,281,No Subject Provided,
2029641428,2020-12-30 00:14:43,2020-12-29 19:08:00,MONTGOMERY,Alabama,334,Other,N
2149835328,2020-12-30 00:15:36,2020-12-29 09:11:00,,Texas,214,Warranties  & protection plans,Y
6039522234,2020-12-30 00:16:11,2020-12-29 14:05:00,,Texas,281,No Subject Provided,
6193051819,2020-12-30 00:17:11,2020-12-29 13:28:00,,California,408,Warranties  & protection plans,Y
2814709357,2020-12-30 00:17:55,2020-12-29 14:14:00,,Texas,281,No Subject Provided,
6193051819,2020-12-30 00:18:14,2020-12-29 16:03:00,,California,408,Warranties  & protection plans,Y
9809070727,2020-12-30 00:19:30,2020-12-29 14:51:00,,Texas,281,No Subject Provided,
4089002396,2020-12-30 00:19:53,2020-12-29 14:41:00,,California,408,Work from home  & other ways to make money,Y
9405118351,2020-12-30 00:21:05,2020-12-29 16:11:00,,Texas,281,No Subject Provided,
4086093196,2020-12-30 00:30:08,2020-12-29 21:02:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
8339692364,2020-12-30 00:30:13,2020-12-29 01:15:00,santa ana,California,714,Other,Y
2088677888,2020-12-30 00:30:31,2020-03-18 16:51:00,Boise,Idaho,208,"Reducing your debt (credit cards, mortgage, student loans)",N
8054614999,2020-12-30 00:31:54,2020-12-29 07:54:00,,California,805,Warranties  & protection plans,Y
3365188026,2020-12-30 00:33:09,2020-12-28 15:08:00,HENDERSON,North Carolina,252,Warranties  & protection plans,Y
2677948942,2020-12-30 00:35:05,2020-12-30 10:00:00,,Pennsylvania,267,Other,Y
6196123884,2020-12-30 00:35:23,2020-12-29 14:31:00,El Cajon,California,619,"Calls pretending to be government, businesses, or family and friends",Y
8339692364,2020-12-30 00:37:04,2020-12-29 14:25:00,santa ana,California,714,Other,Y
,2020-12-30 00:40:53,2020-12-29 12:00:00,,Arizona,480,Other,Y
2811288626,2020-12-30 00:44:43,2020-12-29 14:59:00,League City,Texas,281,"Energy, solar,  & utilities",Y
8043319309,2020-12-30 00:45:41,2020-12-19 13:33:00,,California,707,No Subject Provided,Y
8043319281,2020-12-30 00:47:20,2020-12-21 19:27:00,,California,707,No Subject Provided,Y
8326308171,2020-12-30 00:48:56,2020-02-01 10:10:00,HOUSTON,Texas,832,Other,Y
4403161142,2020-12-30 00:49:14,2020-12-29 16:48:00,,New Jersey,201,No Subject Provided,Y
8042076260,2020-12-30 00:51:06,2020-12-26 23:42:00,,California,707,No Subject Provided,Y
8042076275,2020-12-30 00:52:06,2020-12-29 18:46:00,,California,707,No Subject Provided,Y
9204822585,2020-12-30 00:57:27,2020-12-29 16:28:00,,Wisconsin,920,No Subject Provided,N
